player_id,name_full,primary_position,ab,r,h,rbi,hr,sb
669242,"Edman, Tommy",4,204,29,51,26,5,2
669256,"Solak, Nick",4,209,27,56,23,2,7
669257,"Smith, Will",2,114,23,33,25,8,0
669289,"Espinal, Santiago",5,60,10,16,6,0,1
669374,"Hiura, Keston",3,217,30,46,32,13,3
669720,"Hays, Austin",7,122,20,34,9,4,2
670032,"Lopez, Nicky",6,169,15,34,13,1,0
670541,"Alvarez, Yordan",D,8,2,2,4,1,0
670623,"Paredes, Isaac",4,100,7,22,6,1,0
670712,"Brosseau, Mike",4,86,12,26,12,5,2
671277,"Garcia, Luis",6,134,18,37,16,2,1
672386,"Kirk, Alejandro",2,24,4,9,3,1,0
673357,"Robert, Luis",8,202,33,47,31,11,9
673451,"Akiyama, Shogo",7,155,16,38,9,0,7
676480,"Barrero, Jose",6,67,4,13,2,0,1
680777,"Jeffers, Ryan",2,55,5,15,7,3,0
